slug,display_name_en,category,muscle_group,confidence,duplicate_of_existing_slug,source_folder_en,source_filename_reference_only,unresolved_terms_debug,source_abs_path
abs-pulley-high-2-1,Abs pulley high 2 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS polia alta 2 (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS polia alta 2 (1).gif
abs-rower-legs-extended-1,Abs rower legs extended 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS remador pernas extendidas (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS remador pernas extendidas (1).gif
abs-ab-wheel-with-bar-1,Abs ab wheel with bar 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS rolinho com barra (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS rolinho com barra (1).gif
abs-scissor-1,Abs scissor 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS tesoura (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS tesoura (1).gif
abs-touching-feet-2-1,Abs touching feet 2 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS tocando os pés 2 (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS tocando os pés 2 (1).gif
ball-sit-up-1,Ball sit up 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ball-sit-up (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ball-sit-up (1).gif
bicycle-2-1,Bicycle 2 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Bicicleta 2 (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Bicicleta 2 (1).gif
conventional-sit-up-1,Conventional sit up 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),conventional-sit-up (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\conventional-sit-up (1).gif
crunch-1,Crunch 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),crunch (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\crunch (1).gif
crunch-3-1,Crunch 3 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Crunch 3 (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Crunch 3 (1).gif
crunch-4-1,Crunch 4 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Crunch 4 (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Crunch 4 (1).gif
crunch-with-load-1,Crunch with load 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Crunch com carga (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Crunch com carga (1).gif
crunch-legs-raised-1,Crunch legs raised 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Crunch pernas elevadas (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Crunch pernas elevadas (1).gif
crunch-reverse-1,Crunch reverse 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Crunch reverso (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Crunch reverso (1).gif
crunch-floor-1,Crunch floor 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),crunch-floor (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\crunch-floor (1).gif
crunch-with-leg-raise-1,Crunch with leg raise 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Crunch-With-Leg-Raise (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Crunch-With-Leg-Raise (1).gif
dead-bug-1,Dead bug 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Dead bug (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Dead bug (1).gif
dragon-flag-1,Dragon-flag 1,strength,core_abs,needs_review,no,Strength / Core Abs (ABDOMEN CORE (1)),dragon-flag (1).gif,dragon-flag,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\dragon-flag (1).gif
raise-of-legs-bench-1,Raise of legs bench 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Elevação de pernas banco (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Elevação de pernas banco (1).gif
raise-of-legs-solo-1,Raise of legs solo 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Elevação de pernas solo (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Elevação de pernas solo (1).gif
mountain-climber-1,Mountain climber 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Escalador (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Escalador (1).gif
mountain-climber-crossed-1,Mountain climber crossed 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Escalador cruzado (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Escalador cruzado (1).gif
flexion-of-hip-abs-1,Flexion of hip abs 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Flexão de quadril ABS (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Flexão de quadril ABS (1).gif
flexion-of-hip-bench-1,Flexion of hip bench 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Flexão de quadril banco (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Flexão de quadril banco (1).gif
flexion-lateral-ball-1,Flexion lateral ball 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Flexão lateral bola (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Flexão lateral bola (1).gif
frog-crunch-1,Frog-crunch 1,strength,core_abs,needs_review,no,Strength / Core Abs (ABDOMEN CORE (1)),frog-crunch (1).gif,frog-crunch,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\frog-crunch (1).gif
hanging-knee-raises-1,Hanging knee raises 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Hanging-Knee-Raises (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Hanging-Knee-Raises (1).gif
oblique-bench-1,Oblique bench 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Oblíquo banco (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Oblíquo banco (1).gif
oblique-pulley-low-1,Oblique pulley low 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),oblíquo polia baixa (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\oblíquo polia baixa (1).gif
plank-1,Plank 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Prancha (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Prancha (1).gif
plank-with-flexion-lateral-of-hip-1,Plank with flexion lateral of hip 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Prancha com flexão lateral de quadril (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Prancha com flexão lateral de quadril (1).gif
plank-dynamic-ball-1,Plank dynamic ball 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Prancha dinamica bola (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Prancha dinamica bola (1).gif
plank-front-behind-1,Plank front behind 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Prancha frente trás (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Prancha frente trás (1).gif
plank-lateral-with-flexion-lateral-1,Plank lateral with flexion lateral 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Prancha lateral com flexão lateral (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Prancha lateral com flexão lateral (1).gif
ab-wheel-full-1,Ab wheel full 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Rolinho completo (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Rolinho completo (1).gif
rotation-of-trunk-diagonal-low-1,Rotation of trunk diagonal low 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Rotação de tronco diagonal baixa (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Rotação de tronco diagonal baixa (1).gif
russian-twist-1,Russian twist 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Russian twist (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Russian twist (1).gif
v-sit-ups-1,V sit ups 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),v-sit-ups (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\v-sit-ups (1).gif
weightedsitups-1,Weightedsitups 1,strength,core_abs,needs_review,no,Strength / Core Abs (ABDOMEN CORE (1)),weightedsitups (1).gif,weightedsitups,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\weightedsitups (1).gif
abduction-machine-1,Abduction machine 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Abdução máquina (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Abdução máquina (1).gif
arnold-press-female-1,Arnold press female 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Arnol press femino (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Arnol press femino (1).gif
arnold-press-1,Arnold press 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Arnolda press (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Arnolda press (1).gif
barbell-push-jerk-muscles-1,Barbell push jerk muscles 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),barbell-push-jerk-muscles (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\barbell-push-jerk-muscles (1).gif
fly-reversed-cable-1,Fly reversed cable 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Crucifixo invertido cabo (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Crucifixo invertido cabo (1).gif
fly-reversed-with-dumbbells-1-1,Fly reversed with dumbbells 1 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Crucifixo invertido com halteres 1 (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Crucifixo invertido com halteres 1 (1).gif
fly-reversed-on-machine-1,Fly reversed on machine 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Crucifixo invertido na máqina (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Crucifixo invertido na máqina (1).gif
fly-inverted-with-dumbbells-01-1,Fly inverted with dumbbells 01 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Crucifixo inverto com halteres 01 (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Crucifixo inverto com halteres 01 (1).gif
shoulder-press-1,Shoulder press 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Desenvolvimento (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Desenvolvimento (1).gif
shoulder-press-with-dumbbells-1,Shoulder press with dumbbells 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Desenvolvimento com halteres (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Desenvolvimento com halteres (1).gif
shoulder-press-machine-1,Shoulder press machine 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Desenvolvimento máquina (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Desenvolvimento máquina (1).gif
shoulder-press-on-cable-1,Shoulder press on cable 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Desenvolvimento no cabo (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Desenvolvimento no cabo (1).gif
shoulder-press-on-smith-machine-1,Shoulder press on smith machine 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Desenvolvimento no smith (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Desenvolvimento no smith (1).gif
shoulder-press-neck-1,Shoulder press neck 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Desenvolvimento nuca (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Desenvolvimento nuca (1).gif
shoulder-press-unilateral-1,Shoulder press unilateral 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Desenvolvimento unilateral (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Desenvolvimento unilateral (1).gif
front-raise-with-bar-1,Front raise with bar 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Elevação frontal com barra (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Elevação frontal com barra (1).gif
front-raise-with-dumbbells-1,Front raise with dumbbells 1,strength,shoulders,high,no,Strength / Shoulders (DELTOIDES (1)),Elevação frontal com halteres (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\DELTOIDES (1)\Elevação frontal com halteres (1).gif
