category,slug,filename,duration_seconds,fps,width,height,orientation,step_type,reps_per_loop,rep_seconds,travel,source
03_Lunge,step-back-lunge-to-knee-drive,07_step-back-lunge-to-knee-drive.mp4,5.04,24.0,960,960,square,reps,2,2.52,0.146,reviewed
04_Push,db-floor-press,01_db-floor-press.mp4,3.47,30.0,832,1104,portrait,reps,1,3.47,0.377,reviewed
04_Push,db-overhead-press,02_db-overhead-press.mp4,3.2,30.0,768,1168,portrait,reps,2,1.6,0.128,reviewed
04_Push,seated-db-shoulder-press,03_seated-db-shoulder-press.mp4,3.2,30.0,960,960,square,reps,1,3.2,0.118,reviewed
04_Push,arnold-press,04_arnold-press.mp4,3.1,30.0,960,960,square,reps,1,3.1,0.341,reviewed
04_Push,chest-press-with-band,05_chest-press-with-band.mp4,3.2,30.0,960,960,square,reps,1,3.2,0.088,reviewed
04_Push,floor-push-up,06_floor-push-up.mp4,3.1,30.0,960,960,square,reps,1,3.1,0.249,reviewed
04_Push,incline-push-up,07_incline-push-up.mp4,2.93,30.0,720,1264,portrait,reps,1,2.93,0.313,reviewed
04_Push,kneeling-push-up,08_kneeling-push-up.mp4,3.1,30.0,960,960,square,reps,2,1.55,0.117,reviewed
04_Push,wall-push-up,09_wall-push-up.mp4,6.07,30.0,960,960,square,reps,2,3.03,0.137,reviewed
05_Pull,renegade-row,01_renegade-row.mp4,4.2,30.0,960,960,square,reps,2,2.1,0.088,reviewed
05_Pull,band-row,02_band-row.mp4,3.1,30.0,960,960,square,reps,1,3.1,0.098,reviewed
05_Pull,band-pulldown,03_band-pulldown.mp4,3.17,30.0,720,1264,portrait,reps,2,1.58,0.237,reviewed
05_Pull,bent-over-db-row,04_bent-over-db-row.mp4,3.2,30.0,960,960,square,reps,2,1.6,0.192,reviewed
05_Pull,face-pull-style-row,05_face-pull-style-row.mp4,2.93,30.0,768,1168,portrait,reps,1,2.93,0.133,reviewed
05_Pull,lat-prayer-pulldown-with-band,06_lat-prayer-pulldown-with-band.mp4,3.1,30.0,960,960,square,reps,1,3.1,0.238,reviewed
05_Pull,reverse-fly,07_reverse-fly.mp4,3.17,30.0,960,960,square,reps,1,3.17,0.114,reviewed
05_Pull,seated-band-row,08_seated-band-row.mp4,3.07,30.0,960,960,square,reps,1,3.07,0.052,reviewed
05_Pull,supported-single-arm-row,09_supported-single-arm-row.mp4,3.2,30.0,832,1104,portrait,reps,1,3.2,0.21,reviewed
06_Carry,farmer-carry-db,01_farmer-carry-db.mp4,3.03,30.0,960,960,square,hold,,,0.168,reviewed
06_Carry,front-rack-carry-light-db,02_front-rack-carry-light-db.mp4,3.17,30.0,1264,720,landscape,hold,,,0.058,reviewed
06_Carry,march-with-dumbbells,03_march-with-dumbbells.mp4,4.27,30.0,960,960,square,hold,,,0.085,reviewed
06_Carry,overhead-carry,04_overhead-carry.mp4,3.2,30.0,960,960,square,hold,,,0.056,reviewed
06_Carry,suitcase-carry-one-side,05_suitcase-carry-one-side.mp4,3.17,30.0,720,1264,portrait,hold,,,0.081,reviewed
06_Carry,waiter-carry,06_waiter-carry.mp4,3.1,30.0,960,960,square,hold,,,0.039,reviewed
07_Core_Rotation,russian-twist,01_russian-twist.mp4,3.07,30.0,960,960,square,reps,2,1.53,0.218,reviewed
07_Core_Rotation,bear-plank,02_bear-plank.mp4,3.1,30.0,960,960,square,hold,,,0.155,reviewed
07_Core_Rotation,bird-dog,03_bird-dog.mp4,3.9,30.0,1104,832,landscape,reps,2,1.95,0.284,reviewed
07_Core_Rotation,dead-bug,04_dead-bug.mp4,5.04,24.0,960,960,square,reps,2,2.52,0.147,reviewed
07_Core_Rotation,heel-taps,05_heel-taps.mp4,3.17,30.0,960,960,square,reps,2,1.58,0.092,reviewed
07_Core_Rotation,hollow-hold,06_hollow-hold.mp4,3.1,30.0,960,960,square,hold,,,0.29,reviewed
07_Core_Rotation,mountain-climber-slow,07_mountain-climber-slow.mp4,5.07,30.0,960,960,square,reps,2,2.53,0.137,reviewed
07_Core_Rotation,pallof-press-band,08_pallof-press-band.mp4,3.1,30.0,960,960,square,reps,1,3.1,0.112,reviewed
07_Core_Rotation,plank-variations,09_plank-variations.mp4,3.17,30.0,1264,720,landscape,hold,,,0.251,reviewed
07_Core_Rotation,side-plank,10_side-plank.mp4,3.97,30.0,832,1104,portrait,hold,,,0.251,reviewed
07_Core_Rotation,standing-band-rotation,11_standing-band-rotation.mp4,2.93,30.0,960,960,square,reps,2,1.47,0.118,reviewed
08_Recovery,90-90-hip-stretch,01_90-90-hip-stretch.mp4,3.1,30.0,960,960,square,hold,,,0.251,reviewed
08_Recovery,thread-the-needle,02_thread-the-needle.mp4,5.2,30.0,960,960,square,reps,2,2.6,0.321,reviewed
08_Recovery,cat-cow,03_cat-cow.mp4,5.77,30.0,960,960,square,reps,2,2.88,0.191,reviewed
08_Recovery,childs-pose,04_childs-pose.mp4,2.93,30.0,960,960,square,hold,,,0.113,reviewed
08_Recovery,diaphragmatic-breathing,05_diaphragmatic-breathing.mp4,3.1,30.0,960,960,square,hold,,,0.195,reviewed
08_Recovery,figure-4-glute-stretch,06_figure-4-glute-stretch.mp4,3.2,30.0,960,960,square,hold,,,0.234,reviewed
08_Recovery,hamstring-stretch,07_hamstring-stretch.mp4,3.2,30.0,960,960,square,hold,,,0.24,reviewed
08_Recovery,kneeling-hip-flexor-stretch,08_kneeling-hip-flexor-stretch.mp4,2.93,30.0,960,960,square,hold,,,0.192,reviewed
08_Recovery,simple-breathing-drills,09_simple-breathing-drills.mp4,3.07,30.0,960,960,square,hold,,,0.117,reviewed
08_Recovery,spinal-twist,10_spinal-twist.mp4,3.1,30.0,960,960,square,hold,,,0.076,reviewed
08_Recovery,wall-pec-stretch,11_wall-pec-stretch.mp4,2.93,30.0,960,960,square,hold,,,0.091,reviewed
08_Recovery,worlds-greatest-stretch,12_worlds-greatest-stretch.mp4,3.87,30.0,992,912,landscape,reps,1,3.87,0.46,reviewed
